	true	false	gap	ext	matrix	t_min	f_min
0	0.7	0.5	1	1	PAM250	1.459112763433228	1.5330977866086126
1	0.68	0.56	2	1	PAM250	1.1388517120251156	1.7777305123338354
2	0.7	0.58	3	1	PAM250	1.0630143163590027	1.762507585412732
3	0.7	0.64	4	1	PAM250	0.9952419693395265	1.8294890086160454
4	0.7	0.62	5	1	PAM250	0.95301452399522	1.7760715576738138
5	0.7	0.6	6	1	PAM250	0.9270383618612982	1.7290502802234837
6	0.7	0.6	7	1	PAM250	0.914331505837375	1.7166117973048771
7	0.68	0.6	8	1	PAM250	0.8858807919516011	1.7108111689673349
8	0.7	0.6	9	1	PAM250	0.9022815101967174	1.7075488603264386
9	0.7	0.6	10	1	PAM250	0.9021635344054926	1.7072442668887446
10	0.7	0.62	11	1	PAM250	0.9027753184898109	1.7332493989269397
11	0.7	0.62	12	1	PAM250	0.9043584033427279	1.7367944303897698
12	0.68	0.62	13	1	PAM250	0.887766158595667	1.7410946516660437
13	0.7	0.6	14	1	PAM250	0.9105804025679061	1.724072558892731
14	0.7	0.6	15	1	PAM250	0.912994155925811	1.7291392003516932
15	0.7	0.6	16	1	PAM250	0.9162834262398778	1.7344357268681267
16	0.7	0.6	17	1	PAM250	0.9198827541434136	1.7402004913774838
17	0.7	0.6	18	1	PAM250	0.9236047814334526	1.7462000235288386
18	0.7	0.58	19	1	PAM250	0.9273268087234919	1.6864601828578927
19	0.7	0.58	20	1	PAM250	0.931048836013531	1.6926882864378185
20	0.7	0.58	1	2	PAM250	2.138741164043802	3.6290012454973515
21	0.7	0.62	2	2	PAM250	1.8124504741492964	3.5622003934274034
22	0.7	0.62	3	2	PAM250	1.5292145569898696	3.3159041949210266
23	0.7	0.64	4	2	PAM250	1.3066773212045413	3.145626423608967
24	0.68	0.62	5	2	PAM250	1.199516020200266	3.0321224620734597
25	0.7	0.68	6	2	PAM250	1.1668337342656472	3.0944995439449077
26	0.7	0.68	7	2	PAM250	1.1461242168603605	3.0463970910106997
