scores	norm_scores	matrix	labels	gap	ext
25.0	0.176056338028169	PAM100.txt	1	8	3
32.0	0.3018867924528302	PAM100.txt	1	8	3
30.0	0.24793388429752067	PAM100.txt	1	8	3
28.0	0.3373493975903614	PAM100.txt	1	8	3
41.0	0.27702702702702703	PAM100.txt	1	8	3
26.0	0.6046511627906976	PAM100.txt	1	8	3
38.0	0.1296928327645051	PAM100.txt	1	8	3
21.0	0.21649484536082475	PAM100.txt	1	8	3
22.0	0.24444444444444444	PAM100.txt	1	8	3
31.0	0.34065934065934067	PAM100.txt	1	8	3
28.0	0.28	PAM100.txt	1	8	3
29.0	0.2815533980582524	PAM100.txt	1	8	3
35.0	0.19337016574585636	PAM100.txt	1	8	3
29.0	0.22137404580152673	PAM100.txt	1	8	3
52.0	0.5252525252525253	PAM100.txt	1	8	3
22.0	0.12571428571428572	PAM100.txt	1	8	3
30.0	0.20134228187919462	PAM100.txt	1	8	3
40.0	0.12987012987012986	PAM100.txt	1	8	3
39.0	0.1566265060240964	PAM100.txt	1	8	3
35.0	0.109375	PAM100.txt	1	8	3
37.0	0.11974110032362459	PAM100.txt	1	8	3
36.0	0.14516129032258066	PAM100.txt	1	8	3
35.0	0.17857142857142858	PAM100.txt	1	8	3
30.0	0.16666666666666666	PAM100.txt	1	8	3
53.0	0.6794871794871795	PAM100.txt	1	8	3
25.0	0.15822784810126583	PAM100.txt	1	8	3
38.0	0.11949685534591195	PAM100.txt	1	8	3
37.0	0.1778846153846154	PAM100.txt	1	8	3
28.0	0.19310344827586207	PAM100.txt	1	8	3
30.0	0.23076923076923078	PAM100.txt	1	8	3
36.0	0.24	PAM100.txt	1	8	3
29.0	0.15508021390374332	PAM100.txt	1	8	3
35.0	0.2692307692307692	PAM100.txt	1	8	3
29.0	0.14720812182741116	PAM100.txt	1	8	3
31.0	0.13135593220338984	PAM100.txt	1	8	3
34.0	0.2956521739130435	PAM100.txt	1	8	3
35.0	0.14522821576763487	PAM100.txt	1	8	3
29.0	0.17791411042944785	PAM100.txt	1	8	3
28.0	0.16279069767441862	PAM100.txt	1	8	3
26.0	0.21487603305785125	PAM100.txt	1	8	3
26.0	0.20634920634920634	PAM100.txt	1	8	3
31.0	0.26495726495726496	PAM100.txt	1	8	3
35.0	0.2777777777777778	PAM100.txt	1	8	3
39.0	0.20855614973262032	PAM100.txt	1	8	3
82.0	0.640625	PAM100.txt	1	8	3
31.0	0.24031007751937986	PAM100.txt	1	8	3
38.0	0.12218649517684887	PAM100.txt	1	8	3
228.0	1.4615384615384615	PAM100.txt	1	8	3
39.0	0.9285714285714286	PAM100.txt	1	8	3
31.0	0.7045454545454546	PAM100.txt	1	8	3
25.0	0.29069767441860467	PAM100.txt	0	8	3
18.0	0.225	PAM100.txt	0	8	3
22.0	0.43137254901960786	PAM100.txt	0	8	3
26.0	0.17218543046357615	PAM100.txt	0	8	3
28.0	0.4307692307692308	PAM100.txt	0	8	3
24.0	0.24489795918367346	PAM100.txt	0	8	3
29.0	0.19333333333333333	PAM100.txt	0	8	3
18.0	0.5806451612903226	PAM100.txt	0	8	3
17.0	0.21518987341772153	PAM100.txt	0	8	3
18.0	0.45	PAM100.txt	0	8	3
27.0	0.18	PAM100.txt	0	8	3
17.0	0.3617021276595745	PAM100.txt	0	8	3
19.0	0.19387755102040816	PAM100.txt	0	8	3
25.0	0.15060240963855423	PAM100.txt	0	8	3
33.0	0.32673267326732675	PAM100.txt	0	8	3
24.0	0.19834710743801653	PAM100.txt	0	8	3
25.0	0.25252525252525254	PAM100.txt	0	8	3
26.0	0.5098039215686274	PAM100.txt	0	8	3
24.0	1.2	PAM100.txt	0	8	3
26.0	0.1368421052631579	PAM100.txt	0	8	3
27.0	0.1111111111111111	PAM100.txt	0	8	3
32.0	0.43243243243243246	PAM100.txt	0	8	3
23.0	0.25555555555555554	PAM100.txt	0	8	3
32.0	0.18285714285714286	PAM100.txt	0	8	3
28.0	0.12669683257918551	PAM100.txt	0	8	3
22.0	0.27848101265822783	PAM100.txt	0	8	3
24.0	0.15483870967741936	PAM100.txt	0	8	3
22.0	0.16793893129770993	PAM100.txt	0	8	3
28.0	0.12389380530973451	PAM100.txt	0	8	3
25.0	0.28735632183908044	PAM100.txt	0	8	3
28.0	0.11715481171548117	PAM100.txt	0	8	3
32.0	0.2064516129032258	PAM100.txt	0	8	3
27.0	0.2109375	PAM100.txt	0	8	3
35.0	0.35353535353535354	PAM100.txt	0	8	3
22.0	0.3013698630136986	PAM100.txt	0	8	3
39.0	0.5735294117647058	PAM100.txt	0	8	3
20.0	0.5555555555555556	PAM100.txt	0	8	3
28.0	0.22950819672131148	PAM100.txt	0	8	3
24.0	0.21818181818181817	PAM100.txt	0	8	3
24.0	0.35294117647058826	PAM100.txt	0	8	3
15.0	0.40540540540540543	PAM100.txt	0	8	3
20.0	0.425531914893617	PAM100.txt	0	8	3
30.0	0.21897810218978103	PAM100.txt	0	8	3
31.0	0.2440944881889764	PAM100.txt	0	8	3
26.0	0.11016949152542373	PAM100.txt	0	8	3
24.0	0.4	PAM100.txt	0	8	3
23.0	0.38333333333333336	PAM100.txt	0	8	3
15.0	0.5769230769230769	PAM100.txt	0	8	3
22.0	0.5365853658536586	PAM100.txt	0	8	3
27.0	0.29347826086956524	PAM100.txt	0	8	3
48.0	0.3380281690140845	BLOSUM50.txt	1	8	3
55.0	0.5188679245283019	BLOSUM50.txt	1	8	3
44.0	0.36363636363636365	BLOSUM50.txt	1	8	3
86.0	1.036144578313253	BLOSUM50.txt	1	8	3
71.0	0.4797297297297297	BLOSUM50.txt	1	8	3
37.0	0.8604651162790697	BLOSUM50.txt	1	8	3
71.0	0.24232081911262798	BLOSUM50.txt	1	8	3
36.0	0.3711340206185567	BLOSUM50.txt	1	8	3
44.0	0.4888888888888889	BLOSUM50.txt	1	8	3
34.0	0.37362637362637363	BLOSUM50.txt	1	8	3
48.0	0.48	BLOSUM50.txt	1	8	3
48.0	0.46601941747572817	BLOSUM50.txt	1	8	3
63.0	0.34806629834254144	BLOSUM50.txt	1	8	3
47.0	0.35877862595419846	BLOSUM50.txt	1	8	3
90.0	0.9090909090909091	BLOSUM50.txt	1	8	3
38.0	0.21714285714285714	BLOSUM50.txt	1	8	3
40.0	0.2684563758389262	BLOSUM50.txt	1	8	3
67.0	0.21753246753246752	BLOSUM50.txt	1	8	3
49.0	0.19678714859437751	BLOSUM50.txt	1	8	3
57.0	0.178125	BLOSUM50.txt	1	8	3
61.0	0.19741100323624594	BLOSUM50.txt	1	8	3
51.0	0.2056451612903226	BLOSUM50.txt	1	8	3
53.0	0.27040816326530615	BLOSUM50.txt	1	8	3
69.0	0.38333333333333336	BLOSUM50.txt	1	8	3
90.0	1.1538461538461537	BLOSUM50.txt	1	8	3
44.0	0.27848101265822783	BLOSUM50.txt	1	8	3
63.0	0.19811320754716982	BLOSUM50.txt	1	8	3
58.0	0.27884615384615385	BLOSUM50.txt	1	8	3
45.0	0.3103448275862069	BLOSUM50.txt	1	8	3
47.0	0.36153846153846153	BLOSUM50.txt	1	8	3
56.0	0.37333333333333335	BLOSUM50.txt	1	8	3
60.0	0.32085561497326204	BLOSUM50.txt	1	8	3
72.0	0.5538461538461539	BLOSUM50.txt	1	8	3
51.0	0.25888324873096447	BLOSUM50.txt	1	8	3
41.0	0.17372881355932204	BLOSUM50.txt	1	8	3
52.0	0.45217391304347826	BLOSUM50.txt	1	8	3
50.0	0.2074688796680498	BLOSUM50.txt	1	8	3
42.0	0.25766871165644173	BLOSUM50.txt	1	8	3
37.0	0.21511627906976744	BLOSUM50.txt	1	8	3
38.0	0.3140495867768595	BLOSUM50.txt	1	8	3
34.0	0.2698412698412698	BLOSUM50.txt	1	8	3
37.0	0.3162393162393162	BLOSUM50.txt	1	8	3
42.0	0.3333333333333333	BLOSUM50.txt	1	8	3
98.0	0.5240641711229946	BLOSUM50.txt	1	8	3
151.0	1.1796875	BLOSUM50.txt	1	8	3
59.0	0.4573643410852713	BLOSUM50.txt	1	8	3
52.0	0.16720257234726688	BLOSUM50.txt	1	8	3
365.0	2.33974358974359	BLOSUM50.txt	1	8	3
69.0	1.6428571428571428	BLOSUM50.txt	1	8	3
61.0	1.3863636363636365	BLOSUM50.txt	1	8	3
38.0	0.4418604651162791	BLOSUM50.txt	0	8	3
31.0	0.3875	BLOSUM50.txt	0	8	3
25.0	0.49019607843137253	BLOSUM50.txt	0	8	3
41.0	0.271523178807947	BLOSUM50.txt	0	8	3
56.0	0.8615384615384616	BLOSUM50.txt	0	8	3
48.0	0.4897959183673469	BLOSUM50.txt	0	8	3
51.0	0.34	BLOSUM50.txt	0	8	3
24.0	0.7741935483870968	BLOSUM50.txt	0	8	3
24.0	0.3037974683544304	BLOSUM50.txt	0	8	3
20.0	0.5	BLOSUM50.txt	0	8	3
50.0	0.3333333333333333	BLOSUM50.txt	0	8	3
23.0	0.48936170212765956	BLOSUM50.txt	0	8	3
