scores	norm_scores	matrix	labels	gap	ext
119.0	0.8380281690140845	PAM250	1	15	3
131.0	1.2358490566037736	PAM250	1	15	3
138.0	1.140495867768595	PAM250	1	15	3
77.0	0.927710843373494	PAM250	1	15	3
105.0	0.7094594594594594	PAM250	1	15	3
132.0	3.0697674418604652	PAM250	1	15	3
866.0	2.955631399317406	PAM250	1	15	3
88.0	0.9072164948453608	PAM250	1	15	3
168.0	1.8666666666666667	PAM250	1	15	3
78.0	0.8571428571428571	PAM250	1	15	3
114.0	1.14	PAM250	1	15	3
72.0	0.6990291262135923	PAM250	1	15	3
177.0	0.9779005524861878	PAM250	1	15	3
220.0	1.6793893129770991	PAM250	1	15	3
84.0	0.8484848484848485	PAM250	1	15	3
133.0	0.76	PAM250	1	15	3
259.0	1.738255033557047	PAM250	1	15	3
1807.0	5.866883116883117	PAM250	1	15	3
268.0	1.0763052208835342	PAM250	1	15	3
555.0	1.734375	PAM250	1	15	3
340.0	1.1003236245954693	PAM250	1	15	3
284.0	1.1451612903225807	PAM250	1	15	3
175.0	0.8928571428571429	PAM250	1	15	3
113.0	0.6277777777777778	PAM250	1	15	3
131.0	1.6794871794871795	PAM250	1	15	3
311.0	1.9683544303797469	PAM250	1	15	3
226.0	0.710691823899371	PAM250	1	15	3
291.0	1.3990384615384615	PAM250	1	15	3
460.0	3.1724137931034484	PAM250	1	15	3
444.0	3.4153846153846152	PAM250	1	15	3
235.0	1.5666666666666667	PAM250	1	15	3
200.0	1.0695187165775402	PAM250	1	15	3
407.0	3.1307692307692307	PAM250	1	15	3
564.0	2.8629441624365484	PAM250	1	15	3
495.0	2.097457627118644	PAM250	1	15	3
529.0	4.6	PAM250	1	15	3
521.0	2.1618257261410787	PAM250	1	15	3
274.0	1.6809815950920246	PAM250	1	15	3
140.0	0.813953488372093	PAM250	1	15	3
301.0	2.487603305785124	PAM250	1	15	3
318.0	2.5238095238095237	PAM250	1	15	3
107.0	0.9145299145299145	PAM250	1	15	3
106.0	0.8412698412698413	PAM250	1	15	3
281.0	1.5026737967914439	PAM250	1	15	3
167.0	1.3046875	PAM250	1	15	3
151.0	1.1705426356589148	PAM250	1	15	3
272.0	0.8745980707395499	PAM250	1	15	3
299.0	1.9166666666666667	PAM250	1	15	3
131.0	3.119047619047619	PAM250	1	15	3
133.0	3.022727272727273	PAM250	1	15	3
91.0	1.058139534883721	PAM250	0	15	3
187.0	2.3375	PAM250	0	15	3
110.0	2.156862745098039	PAM250	0	15	3
355.0	2.3509933774834435	PAM250	0	15	3
143.0	2.2	PAM250	0	15	3
128.0	1.3061224489795917	PAM250	0	15	3
590.0	3.933333333333333	PAM250	0	15	3
708.0	22.838709677419356	PAM250	0	15	3
127.0	1.6075949367088607	PAM250	0	15	3
175.0	4.375	PAM250	0	15	3
599.0	3.993333333333333	PAM250	0	15	3
98.0	2.0851063829787235	PAM250	0	15	3
66.0	0.673469387755102	PAM250	0	15	3
384.0	2.3132530120481927	PAM250	0	15	3
777.0	7.693069306930693	PAM250	0	15	3
256.0	2.115702479338843	PAM250	0	15	3
56.0	0.5656565656565656	PAM250	0	15	3
409.0	8.019607843137255	PAM250	0	15	3
625.0	31.25	PAM250	0	15	3
826.0	4.347368421052631	PAM250	0	15	3
432.0	1.7777777777777777	PAM250	0	15	3
957.0	12.932432432432432	PAM250	0	15	3
252.0	2.8	PAM250	0	15	3
224.0	1.28	PAM250	0	15	3
417.0	1.8868778280542986	PAM250	0	15	3
93.0	1.1772151898734178	PAM250	0	15	3
89.0	0.5741935483870968	PAM250	0	15	3
936.0	7.145038167938932	PAM250	0	15	3
148.0	0.6548672566371682	PAM250	0	15	3
398.0	4.574712643678161	PAM250	0	15	3
189.0	0.7907949790794979	PAM250	0	15	3
190.0	1.2258064516129032	PAM250	0	15	3
428.0	3.34375	PAM250	0	15	3
609.0	6.151515151515151	PAM250	0	15	3
199.0	2.7260273972602738	PAM250	0	15	3
201.0	2.9558823529411766	PAM250	0	15	3
125.0	3.4722222222222223	PAM250	0	15	3
129.0	1.0573770491803278	PAM250	0	15	3
