scores	norm_scores	matrix	labels	gap	ext
30.0	0.2112676056338028	PAM250	1	8	3
55.0	0.5188679245283019	PAM250	1	8	3
28.0	0.23140495867768596	PAM250	1	8	3
0.0	0.0	PAM250	1	8	3
5.0	0.033783783783783786	PAM250	1	8	3
12.0	0.27906976744186046	PAM250	1	8	3
-1.0	-0.0034129692832764505	PAM250	1	8	3
41.0	0.422680412371134	PAM250	1	8	3
17.0	0.18888888888888888	PAM250	1	8	3
11.0	0.12087912087912088	PAM250	1	8	3
37.0	0.37	PAM250	1	8	3
-4.0	-0.038834951456310676	PAM250	1	8	3
22.0	0.12154696132596685	PAM250	1	8	3
17.0	0.1297709923664122	PAM250	1	8	3
5.0	0.050505050505050504	PAM250	1	8	3
-1.0	-0.005714285714285714	PAM250	1	8	3
7.0	0.04697986577181208	PAM250	1	8	3
8.0	0.025974025974025976	PAM250	1	8	3
2.0	0.008032128514056224	PAM250	1	8	3
-3.0	-0.009375	PAM250	1	8	3
-1.0	-0.003236245954692557	PAM250	1	8	3
30.0	0.12096774193548387	PAM250	1	8	3
0.0	0.0	PAM250	1	8	3
16.0	0.08888888888888889	PAM250	1	8	3
60.0	0.7692307692307693	PAM250	1	8	3
0.0	0.0	PAM250	1	8	3
0.0	0.0	PAM250	1	8	3
0.0	0.0	PAM250	1	8	3
9.0	0.06206896551724138	PAM250	1	8	3
4.0	0.03076923076923077	PAM250	1	8	3
7.0	0.04666666666666667	PAM250	1	8	3
0.0	0.0	PAM250	1	8	3
9.0	0.06923076923076923	PAM250	1	8	3
3.0	0.015228426395939087	PAM250	1	8	3
15.0	0.0635593220338983	PAM250	1	8	3
15.0	0.13043478260869565	PAM250	1	8	3
5.0	0.02074688796680498	PAM250	1	8	3
14.0	0.08588957055214724	PAM250	1	8	3
-3.0	-0.01744186046511628	PAM250	1	8	3
6.0	0.049586776859504134	PAM250	1	8	3
11.0	0.0873015873015873	PAM250	1	8	3
14.0	0.11965811965811966	PAM250	1	8	3
16.0	0.12698412698412698	PAM250	1	8	3
51.0	0.2727272727272727	PAM250	1	8	3
1.0	0.0078125	PAM250	1	8	3
-1.0	-0.007751937984496124	PAM250	1	8	3
9.0	0.028938906752411574	PAM250	1	8	3
247.0	1.5833333333333333	PAM250	1	8	3
7.0	0.16666666666666666	PAM250	1	8	3
60.0	1.3636363636363635	PAM250	1	8	3
4.0	0.046511627906976744	PAM250	0	8	3
2.0	0.025	PAM250	0	8	3
-6.0	-0.11764705882352941	PAM250	0	8	3
1.0	0.006622516556291391	PAM250	0	8	3
23.0	0.35384615384615387	PAM250	0	8	3
